roi_id,mean_peak_to_peak_distance[ms],mean_firing_frequency[Hz]
ROI1,735.6666666666666,1.3427734375
ROI2,1308.1818181818182,0.732421875
ROI3,813.2631578947369,1.220703125
ROI4,965.8125,1.03759765625
ROI5,515.0,1.89208984375
ROI6,1330.2,0.67138671875
ROI7,908.5294117647059,1.0986328125
ROI8,813.421052631579,1.220703125
ROI9,908.4117647058823,1.0986328125
ROI10,1331.2,0.67138671875
ROI11,1084.4615384615386,0.8544921875
ROI12,813.0526315789474,1.220703125
ROI13,678.2608695652174,1.46484375
ROI14,1210.3636363636363,0.732421875
ROI15,1479.2222222222222,0.6103515625
ROI16,1188.5384615384614,0.8544921875
ROI17,1030.0,0.9765625
ROI18,951.3571428571429,0.91552734375
ROI19,624.08,1.5869140625
ROI20,1664.625,0.54931640625
ROI21,1210.6363636363637,0.732421875
ROI22,1188.076923076923,0.8544921875
ROI23,813.3684210526316,1.220703125
ROI24,1449.6,0.67138671875
ROI25,1210.6363636363637,0.732421875
ROI26,908.7058823529412,1.0986328125
ROI27,1287.9166666666667,0.79345703125
ROI28,1109.5,0.79345703125
ROI29,1480.111111111111,0.6103515625
ROI30,2200.285714285714,0.48828125
ROI31,1308.7272727272727,0.732421875
ROI32,967.0,0.91552734375
ROI33,1308.909090909091,0.732421875
ROI34,857.7777777777778,1.15966796875
ROI35,1198.6666666666667,0.79345703125
ROI36,1798.375,0.54931640625
ROI37,1030.5333333333333,0.9765625
ROI38,443.0833333333333,2.25830078125
ROI39,1890.5,0.42724609375
ROI40,1024.0,0.8544921875
ROI41,887.3333333333334,0.9765625
ROI42,1479.3333333333333,0.6103515625
ROI43,1138.3,0.67138671875
ROI44,1209.6363636363637,0.732421875
ROI45,1309.2727272727273,0.732421875
ROI46,1902.5714285714287,0.48828125
ROI47,858.5,1.15966796875
ROI48,1024.0,0.8544921875
ROI49,1188.3846153846155,0.8544921875
ROI50,1308.7272727272727,0.732421875
ROI51,1128.3333333333333,0.79345703125
ROI52,1331.5,0.67138671875
ROI53,1210.8181818181818,0.732421875
ROI54,1331.2,0.67138671875
ROI55,1025.2307692307693,0.8544921875
ROI56,1211.0,0.732421875
ROI57,965.4375,1.03759765625
ROI58,1438.7,0.67138671875
ROI59,1070.076923076923,0.8544921875
ROI60,1211.090909090909,0.732421875
ROI61,1099.2857142857142,0.48828125
ROI62,916.1764705882352,1.0986328125
ROI63,1331.2,0.67138671875
ROI64,1330.5,0.67138671875
ROI65,2398.3333333333335,0.42724609375
ROI66,2055.0,0.48828125
ROI67,1598.5555555555557,0.6103515625
ROI68,1664.625,0.54931640625
ROI69,1307.7272727272727,0.732421875
ROI70,1112.25,0.79345703125
ROI71,1457.6,0.67138671875
ROI72,1931.75,0.54931640625
ROI73,1479.2222222222222,0.6103515625
ROI74,1478.4444444444443,0.6103515625
ROI75,783.1176470588235,1.0986328125
ROI76,2662.8,0.3662109375
ROI77,2219.8333333333335,0.42724609375
ROI78,783.1176470588235,1.0986328125
ROI79,1933.875,0.54931640625
