Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10
0.01	1.081555	1.0017811	1.05448	1.096472	1.041918	1.047491	1.040598	0.977836	1.064728	1.0092969
0.02	1.045881	0.9932366	1.037792	1.029145	1.022265	1.0046195	1.0056214	1.015534	1.026609	0.991097
0.03	1.034406	0.9948307	1.027814	1.071477	1.038755	1.043677	1.034943	1.011452	1.034118	1.049481
0.04	1.011931	1.00020468	1.0084925	1.07426	1.0068035	1.082781	1.038769	1.063991	1.061533	1.045174
0.05	1.019266	0.9955021	1.029505	1.065553	1.018243	1.046002	1.018827	1.10086	1.041462	1.015946
0.06	1.022136	0.9986352	1.01342	1.050838	1.0075244	1.024301	1.0029747	1.050666	0.986207	0.985262
0.07	1.036464	0.9927843	1.017156	1.074683	1.022233	1.042628	1.016096	1.042216	1.061574	1.025332
0.08	1.030799	0.9952322	1.012578	1.044839	1.025188	0.999983055	1.012871	1.064992	0.988012	1.011453
0.09	1.032033	0.9928767	1.032659	1.041246	1.0037649	1.011261	0.977948	1.019321	1.028261	0.982718
0.1	1.04783	0.9951971	1.062066	1.011358	1.013033	1.047159	1.0089147	1.014563	1.016397	1.070955
0.11	1.029518	0.99970381	1.037962	1.010266	1.0045068	0.9915197	0.9959194	0.98381	0.970796	1.01682
0.12	1.041882	0.9935457	1.03137	0.9962584	0.9961652	1.037053	0.99961418	0.97565	1.028773	1.014335
0.13	1.023786	0.9971628	1.019482	0.987298	1.0089667	1.026879	1.017564	0.971832	1.027085	1.013311
0.14	1.038116	0.9954043	1.04899	1.023421	0.988382	1.0072662	1.050898	0.98067	0.989719	1.013552
0.15	1.0031053	0.9967226	0.9966554	1.00036096	1.0054593	1.048081	0.980226	1.037538	0.979468	1.033826
0.16	1.026619	0.9909344	1.031913	0.9923944	1.0087183	1.023367	1.012445	0.98898	0.9951215	0.986766
0.17	1.0251	0.989336	1.015756	0.989389	1.01599	0.973586	1.0015935	1.022877	1.069865	0.988963
0.18	1.012397	0.9947103	1.0024986	1.055274	1.011491	1.030019	1.056717	1.0050638	0.988362	1.017721
0.19	1.011818	0.99917059	0.977441	0.981951	0.981882	1.015225	1.0036736	0.989999	1.046171	1.010184
0.2	1.027389	0.9921343	0.982385	0.9972544	1.010954	1.037791	0.98752	1.00084901	0.981125	1.014774
0.21	1.025499	1.00029817	1.010641	0.9901301	0.989	1.00015038	0.973252	0.9989649	0.9947022	1.035147
0.22	0.99979979	0.9924077	1.02126	0.976722	0.9989751	1.011495	1.029904	0.9972548	0.9964783	1.016909
0.23	1.017022	0.9992099	1.027648	0.988767	1.015592	1.034626	1.01944	0.9941086	1.0288	1.053149
0.24	1.020827	0.9917121	1.041535	1.01659	1.013341	1.0011837	1.038409	0.9948878	0.99984117	0.98655
0.25	0.9984362	0.9941868	0.992787	0.973818	1.021584	1.026918	1.006292	0.980882	1.016605	1.077654
0.26	1.0042608	0.993204	1.013671	0.998593	0.9918681	0.989447	1.014596	1.00070051	0.989338	1.05483
0.27	1.0082609	0.9900343	1.064925	0.982967	1.0061891	1.024317	1.027128	0.980969	1.017663	1.064157
0.28	1.012156	0.9920475	0.98354	0.973419	0.988153	0.986677	0.970541	1.0016438	1.012846	1.033589
0.29	1.028385	0.9988591	1.012189	0.982867	1.0074778	0.9967493	0.98465	0.9932909	1.019837	1.0032854
0.3	1.0050925	0.988157	0.9960073	0.97795	0.997374	1.035247	1.01749	1.043343	1.022406	0.997447
0.31	0.995328	0.9950151	0.977352	0.965275	0.9929183	0.98246	1.012887	1.015232	1.029224	1.022081
0.32	1.0052856	0.989582	1.017944	0.960911	0.98053	1.019851	0.956673	0.9982217	1.061113	1.027158
0.33	0.9970884	0.9967864	1.028266	1.013761	1.019907	0.9942139	0.9972832	1.0054954	1.025944	1.037702
0.34	0.9971153	0.9969986	0.955844	0.97404	1.012387	1.020484	1.0092837	0.970892	1.0053404	1.022588
