roi_id,peak_time,peak_absolute_amplitude,peak_relative_amplitude
ROI1,2650,1.8246,0.7888955533333333
ROI1,4933,1.92016,0.8844555533333334
ROI1,6810,1.83266,0.7969555533333332
ROI1,7551,1.18256,0.14685555333333333
ROI1,9454,1.39057,0.35486555333333336
ROI1,10061,1.19159,0.1558855533333332
ROI1,13430,2.1486,1.1128955533333333
ROI1,14114,1.25216,0.21645555333333322
ROI2,2368,1.53938,0.4943345333333333
ROI2,2653,2.2923,1.2472545333333334
ROI2,4934,2.3076,1.2625545333333332
ROI2,6817,1.9888,0.9437545333333333
ROI2,9453,1.27874,0.23369453333333334
ROI2,10060,2.0551,1.0100545333333333
ROI2,11334,1.3679,0.32285453333333325
ROI2,13433,2.4183,1.3732545333333332
ROI2,14115,1.2074,0.16235453333333338
ROI2,15656,1.25973,0.21468453333333337
ROI3,2651,1.72586,0.6889659633333332
ROI3,3673,1.27458,0.23768596333333325
ROI3,4936,1.84166,0.8047659633333333
ROI3,6817,1.75577,0.7188759633333333
ROI3,7558,1.16849,0.13159596333333323
ROI3,9453,1.26835,0.2314559633333333
ROI3,13429,1.96559,0.9286959633333332
ROI3,14110,1.24063,0.2037359633333331
ROI3,15431,1.15141,0.11451596333333325
ROI4,2651,1.62417,0.5883335266666665
ROI4,4932,1.68744,0.6516035266666667
ROI4,6086,1.2149,0.1790635266666667
ROI4,6814,1.71499,0.6791535266666666
ROI4,9452,1.1889,0.15306352666666667
ROI4,13432,1.82495,0.7891135266666667
ROI4,14106,1.15494,0.11910352666666668
ROI4,14374,1.2391,0.2032635266666667
ROI5,2650,1.50743,0.4733967686666667
ROI5,4935,1.63703,0.6029967686666666
ROI5,5541,1.15401,0.11997676866666662
ROI5,6813,1.68308,0.6490467686666666
ROI5,7559,1.21192,0.17788676866666675
ROI5,9454,1.26448,0.2304467686666667
ROI5,13432,1.85712,0.8230867686666667
ROI5,14113,1.20456,0.17052676866666672
ROI5,16115,1.1576,0.1235667686666666
ROI6,2653,1.48468,0.4509629266666666
ROI6,4933,1.61484,0.5811229266666667
ROI6,6505,1.20503,0.17131292666666664
ROI6,6815,1.66052,0.6268029266666666
ROI6,7777,1.18445,0.1507329266666666
ROI6,9449,1.14546,0.11174292666666652
ROI6,12319,1.1638,0.13008292666666654
ROI6,13431,1.86159,0.8278729266666667
ROI6,14106,1.13815,0.10443292666666659
ROI7,2657,1.45476,0.41748319666666656
ROI7,4938,1.59879,0.5615131966666664
ROI7,6810,1.62157,0.5842931966666665
ROI7,7554,1.18181,0.14453319666666653
ROI7,9448,1.22903,0.19175319666666657
ROI7,11347,1.19427,0.15699319666666645
ROI7,13433,1.88254,0.8452631966666666
ROI7,14112,1.16097,0.12369319666666656
ROI7,15422,1.44286,0.40558319666666653
ROI8,2658,1.23786,0.20983704999999997
ROI8,4935,1.35268,0.3246570500000001
ROI8,6815,1.44153,0.41350705
ROI8,9455,1.35262,0.32459704999999994
ROI8,13431,1.67046,0.6424370500000001
ROI9,2650,1.46876,0.43836663333333337
ROI9,4935,1.52518,0.4947866333333333
ROI9,6814,1.56304,0.5326466333333333
ROI9,9455,1.20418,0.17378663333333333
ROI9,13431,1.67549,0.6450966333333332
ROI10,2660,1.35508,0.32980050530000016
ROI10,4941,1.47183,0.44655050530000007
ROI10,5540,1.18801,0.1627305053000001
ROI10,6817,1.56871,0.5434305053000001
ROI10,7557,1.25292,0.22764050530000013
ROI10,9455,1.31375,0.28847050530000007
ROI10,10810,1.17234,0.14706050530000003
ROI10,10862,1.1417,0.11642050530000003
ROI10,12482,1.18563,0.16035050530000006
ROI10,12843,1.16132,0.1360405053
ROI10,13427,1.70236,0.6770805053000002
ROI10,13986,1.12881,0.10353050530000019
ROI10,14110,1.25712,0.2318405053000001
ROI10,14318,1.2068,0.1815205053000002
ROI10,14751,1.17378,0.14850050530000014
ROI10,15432,1.17845,0.1531705053000001
ROI10,16114,1.75121,0.7259305053
ROI11,2654,1.82552,0.7836471543333334
ROI11,4935,1.81304,0.7711671543333334
ROI11,6817,1.77503,0.7331571543333335
ROI11,7559,1.15907,0.11719715433333344
ROI11,9449,1.21017,0.16829715433333337
ROI11,13434,1.89044,0.8485671543333333
ROI11,14115,1.20253,0.1606571543333335
ROI12,2371,1.13512,0.08461867
ROI12,2655,1.88338,0.8328786700000002
ROI12,4934,1.82789,0.7773886700000001
ROI12,6816,1.63247,0.5819686700000002
ROI12,9451,1.16126,0.11075867000000006
ROI12,10061,1.37838,0.32787867000000004
ROI12,11333,1.32327,0.27276867000000005
ROI12,13432,1.93909,0.8885886700000001
ROI12,15656,1.26513,0.2146286700000002
ROI13,2652,1.97863,0.9298684433333333
ROI13,4933,1.94108,0.8923184433333331
ROI13,6815,1.74162,0.6928584433333331
ROI13,9454,1.17731,0.12854844333333326
ROI13,13432,1.92515,0.8763884433333331
ROI14,1050,1.28042,0.2362352333333333
ROI14,1490,1.38006,0.33587523333333347
ROI14,2643,1.60604,0.5618552333333333
ROI14,3187,1.55464,0.5104552333333334
ROI14,3672,1.60886,0.5646752333333334
ROI14,4181,1.56528,0.5210952333333334
ROI14,4925,1.66491,0.6207252333333333
ROI14,5538,1.61729,0.5731052333333333
ROI14,6800,1.69197,0.6477852333333334
ROI14,7556,1.67827,0.6340852333333333
ROI14,8230,1.5318,0.48761523333333345
ROI14,9434,1.67939,0.6352052333333333
ROI14,10478,1.83613,0.7919452333333334
ROI14,11009,1.49238,0.44819523333333344
ROI14,11534,1.5819,0.5377152333333335
ROI14,12474,1.75708,0.7128952333333334
ROI14,13419,1.86903,0.8248452333333334
ROI14,14109,1.59237,0.5481852333333335
ROI14,14841,1.26013,0.21594523333333338
ROI15,2653,1.73203,0.6881972300000001
ROI15,4934,1.76407,0.7202372300000002
ROI15,6814,1.74241,0.6985772300000002
ROI15,9452,1.19456,0.1507272300000002
ROI15,13431,1.84836,0.8045272300000001
ROI15,14113,1.13677,0.0929372300000002
ROI15,16115,1.35086,0.3070272300000001
ROI16,2648,1.77371,0.7276012866666666
ROI16,4930,1.6847,0.6385912866666668
ROI16,6806,1.56515,0.5190412866666667
ROI16,9454,1.54476,0.4986512866666666
ROI16,13426,1.64033,0.5942212866666667
ROI16,14109,1.19478,0.14867128666666662
ROI17,2652,1.62351,0.5779062423333334
ROI17,4934,1.5624,0.5167962423333334
ROI17,6814,1.43342,0.38781624233333334
ROI17,9453,1.27711,0.2315062423333334
ROI17,13432,1.70942,0.6638162423333334
ROI18,2650,1.64872,0.6080152999999999
ROI18,4931,1.67163,0.6309252999999999
ROI18,6810,1.77401,0.7333053
ROI18,7557,1.22476,0.18405530000000003
ROI18,9454,1.22952,0.1888152999999999
ROI18,13429,1.88022,0.8395153
ROI18,14111,1.20276,0.1620553
ROI19,2659,1.35608,0.32885268366666676
ROI19,4936,1.4737,0.4464726836666668
ROI19,6817,1.53735,0.5101226836666668
ROI19,7552,1.23422,0.2069926836666669
ROI19,9455,1.28914,0.26191268366666676
ROI19,10405,1.15153,0.12430268366666675
ROI19,13434,1.68502,0.6577926836666668
ROI19,14110,1.16146,0.13423268366666674
ROI20,2650,1.69613,0.6527976119999999
ROI20,4932,1.68579,0.6424576119999998
ROI20,6814,1.52901,0.4856776119999999
ROI20,9454,1.32717,0.2838376119999999
ROI20,13429,1.79791,0.7545776119999998
ROI21,2649,1.79243,0.7470713666666668
ROI21,4933,1.79387,0.748511366666667
ROI21,6811,1.74184,0.6964813666666669
ROI21,9454,1.15503,0.10967136666666688
ROI21,13428,1.84594,0.8005813666666668
ROI21,14116,1.14531,0.09995136666666693
ROI21,15421,1.23866,0.19330136666666697
ROI22,2651,1.65265,0.6091601999999998
ROI22,3192,1.20326,0.15977019999999986
ROI22,4187,1.23895,0.19546019999999986
ROI22,4934,1.65861,0.6151201999999998
ROI22,5537,1.25916,0.21567019999999992
ROI22,6810,1.51535,0.47186019999999984
ROI22,7553,1.31118,0.2676901999999999
ROI22,9436,1.31263,0.26914019999999983
ROI22,9912,1.24315,0.19966019999999984
ROI22,10483,1.21113,0.1676401999999999
ROI22,13433,1.77221,0.7287201999999999
ROI22,14108,1.26393,0.22044019999999986
ROI22,15422,1.38007,0.3365801999999998
ROI23,2652,1.63377,0.590286549
ROI23,4933,1.73307,0.6895865490000002
ROI23,6814,1.70252,0.6590365490000001
ROI23,9444,1.2521,0.20861654900000004
ROI23,13429,1.90731,0.8638265490000001
ROI23,14110,1.2083,0.16481654899999998
ROI24,2652,1.63245,0.5858171000000001
ROI24,4934,1.58422,0.5375871000000001
ROI24,6810,1.55231,0.5056771000000002
ROI24,9452,1.14615,0.09951710000000014
ROI24,13431,1.59606,0.5494271000000002
ROI25,2658,1.32613,0.2965083863333333
ROI25,4936,1.41953,0.38990838633333325
ROI25,6086,1.14453,0.11490838633333333
