Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9			
1.01	1.048948	0.995722	0.9919503	1.034419	1.056201	0.951578	1.04028	1.064368	0.940286			1
1.02	1.018133	0.975112	1.0004541	0.976121	1.037434	1.050022	1.10034	1.012056	0.988424			
1.03	1.0048363	1.059453	0.976999	1.011689	1.061335	1.0060664	1.039653	0.970912	1.025622			
1.04	0.9953483	1.056976	0.983194	1.056269	0.99947687	1.019816	1.070746	0.976212	1.064877			
1.05	1.032711	1.027749	0.98265	1.069835	1.0017396	1.016452	1.035779	1.051537	1.13336			
1.06	0.9981042	0.981001	0.966517	1.089747	1.026176	0.973521	0.951991	1.040461	1.14096			
1.07	1.0022792	1.03171	1.0059614	1.035439	0.966374	1.079611	0.98484	1.053138	1.13056			
1.08	0.994741	1.013118	0.953701	1.02518	1.048985	1.026116	1.036698	1.023745	1.049271			
1.09	0.949669	1.022968	1.0037117	1.0042406	1.021386	1.082969	0.9961324	1.031025	0.9959094			
1.1	0.963339	0.988126	0.987949	0.971223	1.039923	1.065249	1.030702	0.9912573	1.0015961			
1.11	0.976029	1.024054	0.9941521	0.969675	1.019594	1.035012	1.041563	0.9917611	0.9965675			
1.12	0.969268	0.98874	1.0085279	0.915467	1.017515	1.023863	0.985466	1.058641	1.070747			
1.13	0.950114	1.01569	0.9922675	0.94005	1.0055601	1.045548	1.033053	1.039808	0.987989			
1.14	0.96643	1.011715	1.062914	0.946871	1.025408	0.9930246	0.97008	0.968756	0.965827			
1.15	0.985567	1.0054392	0.9941107	0.965775	1.016846	1.067479	0.92668	1.025437	1.024058			
1.16	0.958027	0.9933779	1.0055412	0.924294	1.05	1.053705	0.952826	1.0096612	0.98373			
1.17	0.979343	0.982495	1.014417	0.86948	0.97991	1.028924	0.974904	0.985142	0.95462			
1.18	1.043003	1.025293	1.052299	0.974117	1.0053717	1.10133	0.925174	0.9979958	0.919654			
1.19	1.031875	0.9933997	0.985579	0.922442	1.038851	1.052078	0.974047	1.033469	0.921858			
1.2	1.026657	1.00049973	0.9974996	0.922879	1.029723	1.063344	0.943719	0.998494	0.9987558			
1.21	1.0013443	0.977615	1.028096	0.982907	1.0069448	1.075393	0.954568	0.972281	0.961593			
1.22	1.021687	0.9941305	0.966361	1.022162	1.077903	1.085005	1.0028283	0.965949	0.958888			
1.23	1.04606	1.010762	1.036465	0.967354	1.089253	1.018311	0.970722	0.987063	0.957147			
1.24	1.014416	0.9960389	0.9987227	0.915516	1.021364	1.082148	1.0086911	1.00052794	0.927377			
1.25	1.028152	0.986459	1.013921	0.9942655	1.072965	1.048207	0.93574	0.99957184	0.967779			
1.26	0.9990462	0.988527	1.0022365	0.979491	1.066993	1.066735	0.931874	0.973548	0.907815			
1.27	0.957768	0.98679	1.027282	0.965349	1.022794	0.9984059	0.950498	1.025579	0.971815			
1.28	0.963887	0.987337	0.989891	0.946195	1.048594	1.060467	0.928572	0.9999293	0.950704			
1.29	0.986526	0.979313	0.943013	0.930778	1.023178	1.049533	0.985311	1.016208	0.921935			
1.3	0.967969	0.9937817	0.9944006	0.951827	1.012788	1.038496	0.984568	0.968284	0.925216			
1.31	0.948592	0.9946264	1.0011027	0.944538	0.952977	0.983516	1.0049478	0.983869	0.907141			
1.32	0.973246	1.015515	0.949444	0.949005	1.012363	1.038963	1.0078589	1.014866	0.929006			
1.33	0.9901258	1.0098468	0.972412	0.967215	1.0012092	1.083078	1.011299	1.018826	0.9926118			
1.34	0.983201	1.033018	1.05298	0.932874	0.979751	1.00051256	0.951797	0.972152	0.952597			
1.35	0.972976	0.9944219	1.032885	0.99935197	0.974076	0.960852	0.980396	1.014677	0.937037			
1.36	0.974135	1.0052952	1.083694	1.072084	1.013279	1.026689	0.961171	0.985884	0.936828			
1.37	0.922565	0.9947894	1.073359	1.0464	1.010483	1.021063	0.936521	1.0080971	0.926015			
1.38	0.91599	1.0063823	1.050583	1.035956	1.022638	1.027328	0.92985	1.068946	0.911342			
1.39	0.97389	0.972086	0.982702	0.9900068	1.026595	1.027634	0.931387	0.9923037	0.914724			
1.4	0.9930343	0.945072	0.9962046	0.946967	1.03078	1.041878	0.9956437	0.974227	0.966821			
1.41	1.037625	0.980481	1.032662	1.12589	1.10344	1.041527	1.016467	0.960185	0.97739			
1.42	1.014049	0.988981	1.045975	1.020704	0.978152	1.015554	0.933154	0.960244	0.914191			
1.43	0.9974982	0.976343	1.0093524	1.018828	1.051294	1.016029	1.14147	1.0083417	0.959518			
1.44	0.958384	0.968784	1.04572	1.009235	1.0090237	0.969887	1.064717	0.983577	0.975551			
1.45	0.973854	0.974569	1.021695	0.940008	1.0037639	1.00090216	1.0335	1.043085	0.8994			
1.46	0.988595	0.989968	0.997411	0.9926666	1.021446	1.12128	1.06625	0.9917569	0.933485			
1.47	0.982125	0.9902081	1.04558	0.956695	1.0012711	1.080691	0.9985632	1.0081131	0.92096			
1.48	0.959142	0.988097	1.040801	0.974399	1.034011	1.068126	1.047512	0.979432	0.975927			
1.49	0.953718	0.981928	0.9920656	0.921165	1.086875	1.004292	0.95726	1.037642	0.970488			
1.5	0.9961039	0.987845	1.027122	0.955473	1.036666	1.078449	1.0093293	1.04352	1.067835			
1.51	0.970848	1.012656	0.976312	0.921921	1.030096	1.0074518	1.037137	1.027933	1.0032754			
1.52	1.0092366	1.0031384	1.036576	0.935902	1.015207	1.0092092	1.023878	0.9938365	1.0078141			
1.53	1.08015	1.015178	1.17026	0.940602	1.073753	1.090017	0.957613	0.988409	0.968196			
1.54	1.11984	1.01387	1.15458	0.901941	1.054587	1.10167	1.048022	1.006229	0.974532			
1.55	1.099915	1.036283	1.15952	0.89198	1.030178	1.069648	1.09669	1.060024	0.978387			
1.56	1.074714	1.01727	1.10973	0.95372	1.00095902	0.9933205	0.983715	0.9995318	0.9902422			
