roi_id,peak_time,peak_absolute_amplitude,peak_relative_amplitude
ROI1,1057,1.25451,0.22433756199999988
ROI1,1261,1.31918,0.2890075619999999
ROI1,1904,1.36112,0.330947562
ROI1,2125,1.39666,0.3664875619999999
ROI1,2457,1.44143,0.41125756199999985
ROI1,2836,1.57841,0.548237562
ROI1,2867,1.54003,0.5098575619999999
ROI1,2982,1.40526,0.3750875619999998
ROI1,3213,1.3758,0.3456275619999998
ROI1,3358,1.35728,0.3271075619999999
ROI1,3639,1.30833,0.27815756199999986
ROI1,4197,1.35152,0.3213475619999999
ROI1,5448,1.34501,0.3148375619999999
ROI1,5631,1.91848,0.8883075619999998
ROI2,1053,1.24217,0.20896643999999998
ROI2,1251,1.34933,0.3161264399999999
ROI2,1449,1.20348,0.17027644000000008
ROI2,1885,1.21991,0.18670644000000003
ROI2,2459,1.40505,0.3718464399999999
ROI2,2631,1.2296,0.19639644
ROI2,2882,1.2043,0.1710964399999999
ROI2,3357,1.22144,0.18823644000000006
ROI2,3518,1.28923,0.2560264400000001
ROI2,3625,1.2633,0.23009644000000007
ROI2,3805,1.21778,0.18457644000000006
ROI2,4181,1.271,0.2377964399999999
ROI2,4558,1.27633,0.24312643999999994
ROI2,4765,1.30816,0.27495643999999997
ROI2,5074,1.30087,0.26766643999999995
ROI2,5300,1.30044,0.26723644
ROI2,5678,1.29739,0.26418644
ROI3,154,2.0148,0.9862079000000001
ROI3,681,1.27161,0.2430178999999999
ROI3,1073,1.33255,0.3039578999999999
ROI3,1254,1.26385,0.2352578999999999
ROI3,1884,1.25565,0.22705789999999992
ROI3,2120,1.34337,0.31477789999999994
ROI3,2296,1.26379,0.23519789999999996
ROI3,2468,1.2746,0.24600789999999995
ROI3,2619,1.32678,0.29818790000000006
ROI3,3138,1.21615,0.18755790000000006
ROI3,3366,1.25568,0.2270878999999999
ROI3,4099,1.26342,0.23482789999999998
ROI3,5074,1.30472,0.2761279000000001
