Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6
0.01	1.19007	1.13396	1.22822	1.1397	1.084046	1.05878
0.02	1.16417	1.16457	1.18661	1.13055	1.11275	1.08551
0.03	1.23791	1.15901	1.16874	1.20693	1.16522	1.15834
0.04	1.20015	1.14237	1.13729	1.16392	1.10905	1.15143
0.05	1.17268	1.075347	1.1283	1.14308	1.032395	1.1477
0.06	1.15742	1.071086	1.13813	1.1187	1.047844	1.15185
0.07	1.14451	1.090238	1.11801	1.086251	1.035384	1.15892
0.08	1.12329	1.088823	1.1471	1.042103	1.082459	1.13054
0.09	1.12074	1.061514	1.11667	1.039403	1.082348	1.10845
0.1	1.12858	1.073445	1.072766	1.028864	1.02776	1.064535
0.11	1.099451	1.072695	1.078156	0.984635	1.030058	1.020393
0.12	1.077131	1.033222	1.063112	1.012018	1.073487	1.03029
0.13	1.034372	1.053846	1.056666	0.966665	1.08111	1.034345
0.14	1.014323	1.0070338	1.037229	1.0014376	1.10267	0.9908533
0.15	0.989004	1.014233	1.056643	0.982833	1.10616	1.037267
0.16	0.98437	1.022173	1.067282	0.968866	1.088823	0.9975791
0.17	0.982573	1.014003	1.0051192	0.95652	1.061893	0.986071
0.18	0.968334	0.986559	1.011692	0.9557	1.04842	1.010028
0.19	0.965157	0.960724	1.030499	0.937631	1.062884	1.014275
0.2	0.977644	0.961767	0.978397	0.986477	1.026353	1.0071614
0.21	0.956408	0.974099	1.028012	0.968549	0.9968744	0.988498
0.22	0.957386	1.063794	0.988025	0.955924	1.010297	0.958239
0.23	0.964115	1.028652	0.9952074	0.962744	1.035919	0.960407
0.24	0.967321	1.016223	1.037233	0.978147	1.02564	0.968231
0.25	0.93615	0.977623	0.976856	0.954403	0.980687	0.970519
0.26	0.929002	0.982303	0.978265	0.938321	0.9987644	0.951487
0.27	0.939651	0.9989998	0.981244	0.952718	1.0072919	0.9947523
0.28	0.940839	0.945458	1.0026801	0.937671	0.958094	0.978685
0.29	0.932426	0.960231	0.971264	0.940715	1.0031628	0.970665
0.3	0.907983	0.960215	0.957643	0.926127	1.0023685	0.9758
0.31	0.939609	0.969867	0.955884	0.932582	0.988563	0.964003
0.32	0.917205	0.972586	0.981207	0.941278	1.007466	0.971485
0.33	0.949487	0.9945114	0.980941	0.959226	1.02732	0.9937034
0.34	0.9929984	1.0072191	0.9982181	0.958049	1.023134	1.0064956
0.35	0.977815	0.95502	1.020992	0.935804	1.031024	1.0034627
0.36	0.961626	0.966318	0.951194	0.951413	1.0018098	0.975344
0.37	0.946863	0.982994	0.98826	0.961706	1.016235	0.984464
0.38	0.963467	0.98135	0.923956	0.96678	1.0056847	0.973372
0.39	0.962833	1.00088541	0.953574	0.949766	1.033961	1.00000489
0.4	0.973533	0.959862	0.942777	0.940294	0.9944505	0.973298
0.41	0.955293	0.963934	0.958754	0.943422	0.981216	0.933233
0.42	0.93073	0.940888	0.914186	0.924873	1.0066222	0.919125
0.43	0.988778	0.962028	0.916491	0.922653	1.025494	0.986211
0.44	0.97839	0.950205	0.946069	0.930706	1.030024	0.974979
0.45	0.961479	0.948413	0.947177	0.93242	1.017005	0.941736
0.46	0.969829	0.940279	0.974181	0.917454	0.9971977	0.946866
0.47	0.939994	0.9923181	0.975932	0.925247	0.980024	0.96064
0.48	0.936337	0.994602	0.97008	0.940986	1.014827	0.961118
0.49	0.926917	0.966945	0.958838	0.933501	0.99919791	0.9846
0.5	0.922357	0.95148	0.948985	0.949739	0.965259	0.971135
0.51	0.92389	0.967747	1.030642	0.957667	1.0042801	0.941104
0.52	0.913533	0.955369	0.99905253	0.942269	0.9964745	0.987441
0.53	0.931653	0.962731	0.99910474	0.947578	1.014782	0.977022
0.54	0.911803	0.946769	0.963202	0.942281	0.966768	0.977428
0.55	0.902599	0.932022	0.977826	0.909878	0.953769	0.959396
0.56	0.920933	0.963677	0.9942295	0.925722	0.976505	0.964722
0.57	0.89809	0.935144	0.9941221	0.930389	0.99979546	0.952004
0.58	0.925254	0.962948	0.987814	0.954092	0.974003	0.974816
0.59	0.926522	0.945212	0.950385	0.940121	0.939827	0.940116
0.6	0.931122	0.948107	0.950666	0.940494	0.987692	0.938224
0.61	0.918191	0.970236	0.963239	0.942455	1.021236	0.924572
0.62	0.911756	0.94862	0.914938	0.949551	0.99923856	0.911889
0.63	0.927519	0.961763	0.938094	0.956129	1.012294	0.930478
0.64	0.906384	0.948388	0.901255	0.927516	0.984098	0.927076
0.65	0.89599	0.931879	0.911137	0.941732	0.984568	0.944597
0.66	0.911413	0.943194	0.937327	0.936555	1.027253	0.951268
0.67	0.89519	0.941219	0.89332	0.941175	1.02607	0.944144
0.68	0.911874	0.93474	0.904272	0.934544	1.011007	0.92101
0.69	0.907905	0.927712	0.906832	0.930223	0.965138	0.916618
0.7	0.88877	0.975885	0.8809	0.933867	0.979619	0.920224
0.71	0.922298	0.97823	0.917409	0.93682	1.0018266	0.965432
0.72	0.956728	0.962192	0.926556	0.971676	0.9955081	1.045953
0.73	0.973112	0.9950284	0.910945	0.963384	0.9960837	1.049601
0.74	0.964102	0.956928	0.89128	0.947327	0.950344	0.97483
0.75	0.939994	0.962002	0.907341	0.949532	0.968499	0.9704
0.76	0.938651	0.944449	0.88986	0.954328	0.980032	0.976431
0.77	0.921025	0.921057	0.8982	0.970761	0.9922086	0.929072
0.78	0.981327	0.92875	0.89209	0.985747	0.979006	0.980468
0.79	1.036607	0.97022	0.910321	0.994108	1.0061386	0.975618
0.8	0.9935014	0.956799	0.902552	0.966724	0.96884	0.974123
0.81	0.9959753	0.98561	0.95232	0.978321	0.969463	0.977785
0.82	0.97171	0.967451	0.938813	0.962058	0.978821	0.967387
0.83	0.952657	0.925814	0.910168	0.923711	0.962755	0.960795
0.84	0.952527	0.934356	0.948888	0.954505	0.967374	0.962821
0.85	0.976832	0.95046	0.954771	0.955355	0.959593	0.981155
0.86	0.936762	0.942373	0.953496	0.953333	0.942896	1.029878
0.87	0.942309	0.942949	0.920596	0.931534	1.0046924	0.975008
0.88	0.959711	0.955296	0.947868	0.933611	0.9901356	0.970106
0.89	0.940767	0.975801	0.934974	0.958055	1.0019932	0.984178
0.9	0.92551	0.979075	0.920157	0.937595	1.011645	0.968617
0.91	0.912169	0.951828	0.89416	0.925962	0.957583	0.956468
0.92	0.930888	0.94505	0.944491	0.939061	0.966804	0.932773
0.93	0.924259	0.968719	0.914222	0.949448	0.975724	0.955926
0.94	0.928367	0.956388	0.9151	0.931601	0.954522	0.932895
0.95	0.905775	0.940696	0.908519	0.950866	0.976961	0.924361
0.96	0.8962	0.944493	0.921697	0.95188	0.981868	0.965982
0.97	0.921877	0.946588	0.962597	0.945356	0.984685	0.962922
0.98	0.915465	0.970845	0.965464	0.953387	1.0045746	0.945175
0.99	0.913995	0.927344	0.971318	0.929189	0.9933617	0.923045
1	0.925084	0.942005	0.976194	0.953923	0.9959401	0.932247
1.01	0.88463	0.932755	0.943669	0.946462	0.963712	0.934871
1.02	0.929853	0.930059	0.954104	0.931566	0.958676	0.949048
1.03	0.911993	0.939122	0.942438	0.937988	0.96079	0.936461
1.04	0.909476	0.926457	0.934937	0.922049	0.967403	0.941498
1.05	0.933337	0.958249	0.949838	0.93214	0.9981751	0.959792
1.06	0.915249	0.974597	0.921788	0.969946	0.954152	0.928341
1.07	0.925785	0.962921	0.916392	0.9936223	0.974213	0.979674
1.08	0.926833	0.944792	0.941134	0.947813	0.961124	0.933957
1.09	0.918427	0.93617	0.95888	0.964796	0.9983754	0.967504
1.1	0.926316	0.957031	0.907213	0.949973	0.957519	0.956929
1.11	0.920668	0.938535	0.925902	0.951576	0.956337	0.921712
1.12	0.912153	0.939533	0.925551	0.946376	0.984444	0.948122
1.13	0.924636	0.957296	0.939604	0.979571	0.972779	0.952255
1.14	0.913445	0.966955	0.916031	0.96114	0.980705	0.938721
1.15	0.919813	0.955359	0.917962	0.957084	0.956115	0.942974
1.16	0.928794	0.90747	0.911158	0.942724	0.940692	0.939442
1.17	0.89545	0.960734	0.946264	0.977642	0.953441	0.96751
1.18	0.89642	0.93566	0.946281	0.985764	0.985527	0.955083
1.19	0.8888	0.933866	0.922657	0.968968	0.9915898	0.958
1.2	0.907483	0.966099	0.926368	0.9986323	0.949623	0.959559
1.21	0.901297	0.941034	0.89221	0.965382	0.942082	0.956773
1.22	0.89766	0.937417	0.913263	0.958	0.95117	0.935758
1.23	0.918338	0.954316	0.928285	0.954385	0.96527	0.986753
1.24	0.89482	0.95883	0.89067	0.939924	0.96072	0.96188
1.25	0.90828	0.926326	0.919162	0.942466	0.967776	0.943383
1.26	0.87694	0.965427	0.923219	0.935089	0.958248	0.939999
1.27	0.89876	0.948067	0.955353	0.989175	0.94536	0.982846
1.28	0.918748	0.946173	0.958488	0.976058	0.959489	0.976765
1.29	0.913863	0.948078	0.943851	0.953248	0.958715	0.96288
1.3	0.906828	0.924676	0.935546	0.982094	0.958713	0.953423
1.31	0.913047	0.936953	0.931483	0.963021	0.95989	0.996506
1.32	0.935544	0.932926	1.05571	0.99928829	0.9913327	0.972824
1.33	1.0039314	0.959726	1.037548	0.9928456	1.05397	1.044622
1.34	1.050016	1.0036646	1.084938	1.014934	1.052769	1.022965
1.35	1.045991	0.985384	1.10513	1.0049797	1.014533	1.034388
1.36	1.040173	0.96163	1.069195	0.958339	1.020197	1.026283
1.37	1.026219	0.982619	1.0377	0.973964	0.9952996	1.033991
1.38	1.040494	0.96444	1.026484	0.966499	0.984782	1.049476
1.39	1.060467	0.984634	1.01962	0.955275	0.963154	1.015089
1.4	1.04712	0.961878	1.0008599	0.952957	0.9957174	1.026617
1.41	1.0289	0.968125	0.959527	0.925496	0.971234	0.989709
1.42	1.0086486	0.958399	0.954567	0.965157	0.985259	1.0060964
1.43	0.973696	0.953934	0.948413	0.969557	0.9945359	0.984141
1.44	0.961633	0.976761	0.940585	0.961848	0.986026	0.979551
1.45	0.9572	1.006528	0.929988	0.959012	0.967212	0.987505
1.46	0.935985	0.95687	0.931273	0.956859	0.949853	0.94713
1.47	0.931072	0.959888	0.905742	0.970086	0.961085	0.9906188
1.48	0.941459	0.947955	0.928089	0.957445	0.963215	0.971666
1.49	0.950705	0.966905	0.930863	0.931421	1.010817	0.974372
1.5	0.937517	0.9911622	0.934835	0.957441	0.947374	0.975955
1.51	0.925322	0.989844	0.916499	0.937957	0.962103	0.954898
1.52	0.964842	0.965559	0.931226	0.942461	0.9567	0.988035
1.53	0.976779	0.917562	0.925463	0.959657	0.975386	0.988933
1.54	0.933772	0.975689	0.88593	0.956599	0.952158	1.00095821
1.55	0.944053	0.9923943	0.956033	0.944814	0.967339	0.955296
1.56	0.940471	0.958221	0.952504	0.973657	0.945958	0.985166
1.57	0.929912	0.9968854	0.961494	0.979408	0.968768	0.960027
1.58	0.932137	0.960716	0.963785	0.956941	0.948281	0.979432
1.59	0.925351	0.987347	0.940899	0.959545	0.974411	0.94188
1.6	0.921451	0.982953	0.968312	0.967858	0.97927	0.960731
1.61	0.908047	0.968716	0.939909	0.952348	0.984106	0.943203
1.62	0.925706	0.97049	0.960266	0.949938	0.980214	0.95679
1.63	0.927285	0.974437	0.981311	0.948046	1.0061214	0.963048
1.64	0.910581	0.966993	0.961555	0.949015	1.017996	0.971446
1.65	0.923557	0.9901509	0.942949	0.945736	0.9964266	0.929942
1.66	0.907485	0.986473	0.941935	0.984221	0.967388	0.956439
1.67	0.924155	0.97756	0.940555	0.970655	0.9906208	0.955821
1.68	0.945905	0.982718	0.92632	0.959124	0.9956604	0.947661
1.69	0.975137	0.94417	0.944642	0.947929	0.97936	0.927493
1.7	0.945065	0.954505	0.989215	0.973203	1.0032655	0.941676
1.71	0.958613	0.943717	0.992381	0.973852	0.969776	0.939317
1.72	0.953993	0.9950454	1.013132	0.970519	1.017058	0.934773
1.73	0.961203	0.956955	1.0014413	0.957692	1.0039709	1.011105
1.74	0.922631	0.978584	0.986845	0.956091	1.01781	0.9980782
1.75	0.927839	1.0051618	0.99964245	0.959432	1.019211	0.987094
1.76	0.958276	1.0049748	0.961586	0.981336	1.0013734	1.00071186
1.77	0.940692	0.973661	0.959155	0.979208	0.99909049	0.985787
1.78	0.93425	0.939562	0.977241	0.965077	0.96695	0.918759
1.79	0.956752	0.97681	0.972909	1.002614	1.030096	0.958094
1.8	0.955585	0.98057	1.083707	0.9985891	0.9901192	0.984522
1.81	1.018142	1.03171	1.085775	1.0198	1.011601	1.009045
1.82	1.067084	1.27761	1.10824	1.10859	1.29414	0.984172
1.83	1.059136	1.22674	1.18011	1.16612	1.29165	1.015958
1.84	1.10781	1.19607	1.28751	1.17198	1.27821	1.11422
1.85	1.10832	1.12931	1.25131	1.13139	1.22115	1.093174
1.86	1.12842	1.087869	1.28258	1.094562	1.16715	1.04498
1.87	1.16045	1.15024	1.20208	1.1037	1.14889	1.069656
1.88	1.16242	1.10259	1.16871	1.079319	1.16272	1.076907
1.89	1.15552	1.11216	1.13001	1.091677	1.14637	1.10521
1.9	1.10514	1.096603	1.16067	1.093331	1.12336	1.11145
1.91	1.13717	1.081989	1.1059	1.079393	1.14661	1.064647
1.92	1.094403	1.15053	1.092419	1.068444	1.12583	1.074563
1.93	1.1939	1.10142	1.10893	1.092648	1.16467	1.14201
1.94	1.24669	1.096238	1.12759	1.17609	1.17204	1.089395
1.95	1.28531	1.085886	1.090913	1.16296	1.14168	1.091149
1.96	1.33551	1.19905	1.23467	1.16582	1.13653	1.077848
1.97	1.29083	1.12743	1.23458	1.15743	1.15898	1.04279
1.98	1.32595	1.2251	1.25521	1.18045	1.18348	1.090692
1.99	1.35361	1.27772	1.23908	1.2987	1.21557	1.074315
2	1.39897	1.26778	1.23919	1.32251	1.23547	1.14328
2.01	1.44168	1.27408	1.25147	1.29965	1.26611	1.18339
2.02	1.40594	1.23593	1.25758	1.24414	1.27043	1.26183
2.03	1.38298	1.2115	1.22324	1.22832	1.23397	1.19048
2.04	1.33973	1.30068	1.18579	1.20242	1.23214	1.22478
2.05	1.29163	1.23906	1.15615	1.19295	1.17215	1.15675
2.06	1.24763	1.19562	1.16964	1.14363	1.17413	1.12682
2.07	1.20161	1.17772	1.11555	1.10614	1.12251	1.091674
2.08	1.18322	1.15683	1.18741	1.15478	1.15423	1.10482
2.09	1.13761	1.11064	1.12986	1.1765	1.10103	1.11349
2.1	1.16691	1.13283	1.15037	1.12736	1.13348	1.09216
2.11	1.18325	1.12877	1.18024	1.13833	1.11236	1.10661
2.12	1.19288	1.13308	1.18607	1.17168	1.074159	1.14827
2.13	1.17976	1.13543	1.10486	1.11979	1.087963	1.10303
2.14	1.19406	1.088676	1.11419	1.13375	1.090259	1.10494
2.15	1.1786	1.12899	1.17731	1.039595	1.064945	1.08801
2.16	1.16917	1.11386	1.1642	1.078631	1.10475	1.10341
2.17	1.13827	1.06219	1.13263	1.052729	1.067319	1.065139
2.18	1.13528	1.103	1.16502	1.060815	1.10631	1.070935
2.19	1.14529	1.21802	1.18048	1.08302	1.23591	1.077323
2.2	1.11566	1.17111	1.15419	1.077671	1.2057	1.04088
2.21	1.097287	1.15262	1.12089	1.067011	1.15476	1.072652
2.22	1.086443	1.11483	1.073468	1.044583	1.12241	1.073763
2.23	1.078515	1.1209	1.083292	1.052138	1.10981	1.060227
2.24	1.031762	1.076184	1.049019	1.01491	1.074497	1.0519
2.25	1.064291	1.10182	1.070696	1.029578	1.036843	1.041045
2.26	1.035785	1.072219	1.084402	1.010341	1.052741	1.065856
2.27	1.027091	1.077923	1.036825	1.033106	1.11242	1.047755
2.28	1.079125	1.076994	1.13772	1.030865	1.061179	1.062553
2.29	1.079299	1.07828	1.14477	1.066639	1.097556	1.053995
