Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10	ROI11	ROI12	ROI13	ROI14	ROI15
0.01	1.023301	1.021988	0.995869	1.0063838	1.0071516	0.973897	1.0078844	1.065431	1.021585	0.977803	0.969001	0.9971397	1.060077	1.035981	0.9928091
0.02	1.027297	1.033841	0.9984208	1.010505	0.977374	1.010586	1.0077731	1.034996	1.0047728	0.9988732	0.97951	0.9942987	0.9927666	0.977364	0.98188
0.03	1.0198	1.06228	1.0013354	0.99972608	1.039648	1.055726	1.010437	1.031347	1.020915	0.98687	1.031238	1.031292	1.016942	1.075291	1.007433
0.04	1.038327	1.012075	1.055243	1.010886	1.047949	1.0115	0.9975097	1.043664	1.066495	1.046029	1.069633	1.023791	1.017721	1.012176	0.989095
0.05	1.024329	1.038478	0.980504	0.995241	1.041303	1.018955	1.0039731	0.985098	0.973047	1.008438	0.978716	0.9916018	1.019781	1.0086545	0.999983775
0.06	1.034758	1.0079507	1.022751	0.9962867	0.943784	0.9934798	1.02153	0.988376	1.037243	1.032518	1.029077	1.0084489	1.037196	1.0055647	1.039167
0.07	1.013097	1.016246	1.021588	1.0030661	1.030803	1.01815	0.987541	1.036438	1.031757	0.985464	0.9983162	1.021329	1.044554	1.036777	1.062108
0.08	1.0023845	1.033446	1.021763	1.012372	1.04005	1.027832	1.0036744	0.981074	1.03294	1.050555	0.9949373	1.019071	1.033783	0.988149	1.038672
0.09	1.0046661	1.0012392	0.975823	1.012786	1.035137	1.047293	1.016749	1.049088	1.024905	1.060356	1.058806	1.034678	1.076425	0.978682	0.981897
0.1	1.018738	1.0078926	1.024374	1.011809	0.9951291	1.034072	1.077482	1.022953	1.0077119	1.038008	0.955712	0.9971531	1.024795	1.033909	1.025435
0.11	0.9977863	0.9924247	0.986063	1.01331	1.10193	1.050328	1.016512	1.034172	0.976341	0.975367	1.005899	1.073785	1.053731	1.020326	1.02518
0.12	1.0021418	1.023606	0.985157	1.0070871	1.013396	1.036473	1.01904	0.978718	0.9959916	1.010097	1.038828	1.029449	1.007486	1.014446	1.0029089
0.13	1.0096741	1.014688	1.015887	1.013136	0.970961	1.045971	0.975162	0.9960389	1.00058407	0.975585	1.00079097	1.040607	1.049148	1.062831	0.960686
0.14	1.018969	1.051981	0.987772	1.014032	0.9958928	1.002362	1.014543	0.9940202	1.030929	1.094765	1.013171	1.034547	1.086574	1.04389	1.017828
0.15	1.010688	1.06088	0.99970402	1.0011149	0.95634	0.985289	1.045668	1.028997	1.0010405	1.065381	1.062669	1.070222	1.0039895	1.065741	0.954481
0.16	1.018633	1.09189	1.019652	0.99929442	1.013629	1.072666	1.060838	1.01543	1.058091	1.014916	1.042908	1.083896	1.043711	1.046479	1.021483
0.17	0.9975483	1.075046	1.0062483	1.0060254	1.029185	1.05531	1.014418	1.065241	1.021243	0.976626	0.995349	1.012053	1.010601	0.99966052	1.016427
0.18	1.02983	1.033359	0.998298	1.005667	1.036006	1.041645	1.039163	1.045035	1.067261	1.042342	1.040412	0.99948475	1.030807	0.9947201	0.960092
0.19	1.0070105	1.051021	0.987664	0.9954847	1.017572	1.025619	1.065649	1.077775	1.052516	1.021983	0.987192	1.020047	1.036843	0.967095	1.023987
0.2	1.034492	1.03128	0.9988323	1.010155	1.055986	1.022258	1.012696	1.0097776	1.028333	1.025463	0.920047	1.045828	1.036747	1.036363	1.053581
0.21	0.9965952	1.044375	1.002158	1.0092644	1.055311	1.0092977	1.0095774	0.978201	1.0048544	1.042245	1.021582	1.022557	1.052681	1.050728	1.041135
0.22	1.0099616	1.067651	1.018408	1.0087542	1.024648	1.08536	0.983014	1.0044903	1.020425	1.024036	1.017035	1.17041	1.031547	1.089009	0.985574
0.23	0.9964357	1.03172	1.017419	0.9961913	1.044887	1.032837	1.053324	1.083023	1.025774	1.040136	1.075823	1.18118	1.023891	1.02948	1.053606
0.24	1.011105	1.01137	0.9904728	1.0072963	0.983792	0.98704	0.988876	1.068409	0.989503	1.0097082	1.040002	1.060087	1.034968	1.027351	1.027688
0.25	1.010197	1.024434	1.039139	1.0050413	0.989271	1.0078067	1.02775	1.092053	1.01256	1.010733	1.057497	1.044308	1.044078	1.037955	0.99963381
0.26	0.9956835	1.0053829	0.973608	1.002475	1.023312	1.022323	0.9907432	1.070434	1.012001	1.032162	1.021908	1.085048	1.053944	0.941426	1.013835
0.27	0.9900871	1.0065099	1.015078	0.9988522	0.9928897	1.051411	0.987178	1.004674	1.056373	1.014573	1.046849	1.049966	1.0041954	1.039937	0.97218
0.28	1.028622	1.032554	1.015345	0.9979642	1.055254	1.060386	1.026442	1.018931	1.028584	0.97738	1.041295	1.037188	1.030437	1.040338	1.06922
0.29	1.02241	1.041797	1.0066081	0.9906708	0.965847	1.0054718	1.02153	1.0051392	1.025883	1.031341	0.977119	1.0028641	1.040613	0.974168	1.048064
0.3	1.025071	1.0081921	1.027556	0.99946939	1.10696	1.050309	1.033652	1.019317	1.017585	1.068673	1.022394	1.040024	1.045247	1.0059603	1.0015839
0.31	1.030775	1.071421	0.976799	1.0025686	1.023388	1.072698	1.087461	1.0078438	1.029417	0.9965051	1.03071	1.012076	1.01076	1.065012	1.0010187
0.32	1.013286	1.03848	1.051181	1.010641	1.0026357	1.018471	0.9911211	0.934427	1.026199	1.0019686	0.983729	1.010288	1.057979	1.012971	0.977684
0.33	0.993515	1.010674	1.012451	0.9978437	1.095074	0.9924925	1.0017953	1.045241	1.031175	1.027528	0.97695	1.013002	1.028846	0.989174	0.965474
0.34	0.9929231	1.028767	1.042527	1.0081339	1.026653	1.023306	1.085161	1.017724	0.978819	1.0092208	1.031783	1.030178	1.048265	0.987317	0.9962365
0.35	1.030681	1.0094785	0.9959357	0.9964345	1.019146	1.032551	1.043049	1.040823	1.060274	1.038465	1.011711	1.049967	1.056704	1.048006	1.011969
0.36	1.012456	1.03757	1.0070665	0.9953932	1.0081089	1.064894	0.9963288	0.986861	1.069436	1.016102	1.0019225	1.081776	1.078891	0.984657	1.029673
0.37	1.022501	1.023761	1.037645	1.0038191	1.053468	1.062603	1.032248	1.04595	1.040757	1.02331	1.010692	1.057784	1.024079	1.007794	0.967391
