roi_id,mean_peak_to_peak_distance[ms],mean_firing_frequency[Hz]
ROI1,752.4285714285714,1.3333333333333333
ROI2,953.0,1.0
ROI3,950.0,1.0
ROI4,1043.75,0.8333333333333334
ROI5,952.2,1.0
ROI6,81.44285714285714,11.833333333333334
ROI7,794.8333333333334,1.1666666666666667
ROI8,125.62222222222222,7.666666666666667
ROI9,953.0,1.0
ROI10,372.14285714285717,2.5
ROI11,707.5714285714286,1.3333333333333333
ROI12,446.3,1.8333333333333333
ROI13,681.7142857142857,1.3333333333333333
ROI14,953.2,1.0
ROI15,954.2,1.0
