Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10	ROI11	ROI12	ROI13	ROI14	ROI15	ROI16
0.01	1.0072639	1.012014	0.955819	1.0063563	1.044217	1.00038452	0.977509	0.986937	1.041234	1.020444	1.060167	0.95414	1.046063	0.980213	1.031348	1.0035667
0.02	0.9950673	1.036076	1.011434	1.020787	0.974489	1.039228	0.981851	1.020146	0.96518	1.017301	1.091775	0.987454	0.9977006	1.008804	0.9947942	0.9953845
0.03	1.029858	1.045696	1.050957	0.9963324	0.9942505	0.966554	1.034508	1.048409	1.01418	0.978647	0.9943945	1.052833	1.040368	1.012951	1.034002	1.085356
0.04	0.9950106	1.024705	1.026405	1.0052621	1.049841	1.03421	0.985451	1.021945	1.0083432	1.019218	0.982408	1.04987	1.036539	1.05351	1.010886	1.016469
0.05	1.030998	1.028447	0.980807	1.0856	1.02223	1.014691	1.078832	1.038749	1.011111	1.044642	1.0098048	1.028618	1.018011	1.032235	1.018799	0.932954
0.06	1.030095	1.030934	1.072428	1.036445	1.028735	0.9978513	1.025494	1.084511	1.013283	1.02646	0.9919472	1.059419	1.03388	1.041099	1.061112	0.979443
0.07	1.028886	1.020099	1.040342	1.023294	1.0024783	1.030961	1.030423	1.014458	1.0014165	1.060012	0.944757	1.0026662	0.96948	0.967774	1.006413	1.063995
0.08	1.040103	1.013543	1.046548	1.018794	1.052279	1.071858	1.012568	0.989449	1.0037873	1.058361	1.017785	1.0082268	1.016865	0.980513	1.002704	1.054635
0.09	1.0044509	0.989314	1.021307	1.097344	1.0022305	1.056212	1.039081	0.9966006	1.021694	1.075101	1.069994	1.0091792	1.021663	1.058208	0.98969	0.981481
0.1	0.9951526	1.014785	1.057923	0.9956596	1.086334	1.024618	0.984257	1.073578	0.9987707	1.046307	1.0081601	0.9970263	0.987778	1.05459	1.038794	0.9917372
0.11	0.99088	1.032064	1.039402	1.045735	0.953784	1.005012	1.062342	1.032939	1.040587	0.9922368	0.989609	0.986027	1.0080978	1.057508	1.032455	1.047798
0.12	1.016945	1.027373	1.036923	0.988806	1.043023	1.081103	1.050553	1.011114	0.999915184	1.037939	1.087885	1.008345	1.0080829	1.019324	1.052939	1.035613
0.13	1.014747	0.9932512	1.033094	1.0030296	0.9982897	1.04005	1.010449	0.995784	1.0089589	1.0116	0.964949	0.976724	1.000085893	1.050536	1.048029	0.980711
0.14	0.9951466	1.0099753	0.98511	0.950552	0.9975127	0.9939529	0.9930381	1.04757	1.01032	0.985109	1.00046311	0.990214	1.030248	1.045228	1.010688	1.051429
0.15	0.9954375	1.0073753	0.959549	0.970189	1.023546	1.026829	0.970927	1.022837	1.043716	1.045889	1.037881	0.9958865	0.954245	1.029577	1.00066904	1.070317
0.16	1.049835	1.010584	0.944185	1.03569	1.038328	0.979914	1.028755	1.012056	1.042643	0.981952	1.0051204	0.955539	0.989458	0.9952074	1.02663	1.018002
0.17	0.9928488	1.027185	1.065902	1.029981	0.970711	1.041983	1.044398	1.01233	1.040072	1.00043128	0.9986769	0.985743	1.0063325	1.03835	1.030699	1.0081927
0.18	1.019894	1.0035572	1.046024	0.988256	0.985435	1.0093478	1.023834	1.010168	1.043576	1.0021978	1.038776	0.981009	1.028791	1.068069	1.036815	1.0078699
0.19	1.0044106	1.028214	1.018167	1.03241	0.961933	1.033506	1.041578	0.9907025	1.01216	1.03315	1.021134	1.036761	1.073628	1.01757	1.012557	0.9945975
0.2	1.016529	1.024045	0.944741	1.020415	1.04732	1.053299	1.038693	0.964234	1.023118	1.058312	1.011544	1.018127	1.016341	0.979783	1.053138	1.08671
0.21	1.00074986	1.035855	1.038419	0.9940485	1.024545	1.033782	1.031332	1.019566	0.960042	1.011947	1.02364	0.972572	1.0094493	0.9954953	1.033172	1.0013312
0.22	1.018068	1.012581	1.011761	0.965292	1.0086226	0.949948	1.072037	1.004096	0.9960271	1.048793	1.032687	1.023022	1.0036016	1.024593	1.0017247	1.047126
0.23	1.015529	0.9917694	1.060278	1.055458	1.01713	1.038968	1.079495	1.028577	1.07754	1.04453	0.9921003	1.0079423	1.0044462	1.01992	1.032314	1.060401
0.24	1.0051338	0.988937	0.964089	1.019095	1.031086	1.0020155	1.031784	1.01268	1.025239	1.033873	0.975405	1.0048518	1.041836	0.995277	1.010626	0.968013
0.25	1.0062335	1.0077635	0.977626	1.020772	1.019829	0.986618	1.01313	1.014735	0.989923	0.99055	0.980205	0.9901408	0.974982	1.074307	1.072129	0.966924
0.26	0.9943644	1.022399	0.980451	0.982279	0.9948802	0.999929813	1.038895	1.0036159	1.045868	1.025265	0.968596	0.967774	1.013288	1.037916	1.058336	0.97573
0.27	1.02477	1.0066303	1.015559	1.035809	1.057908	1.025724	1.019482	0.9911515	0.9944466	1.060833	1.088682	1.027214	0.9972282	1.037629	1.037503	1.07042
0.28	1.026179	1.012206	1.018126	1.064615	0.982975	0.976841	0.99945004	1.056637	1.028043	1.017003	0.9904814	1.018608	1.021398	1.012763	1.055905	1.076426
0.29	1.024104	1.02281	1.041443	1.021546	0.984284	1.057629	1.088732	0.98289	1.00979	1.024675	1.11774	1.049259	1.026272	1.010785	1.048731	1.012532
0.3	1.039442	1.025329	1.036873	1.016126	1.010079	1.027063	1.073314	0.9944091	1.048311	1.071685	1.079921	1.010976	1.04226	1.066169	1.084791	1.034445
0.31	0.99953137	1.030015	1.02053	1.014317	1.050569	1.030233	1.02716	0.973928	1.02539	1.0014674	1.029708	1.018205	1.030198	1.031429	1.017129	1.01584
0.32	1.022348	1.027243	1.058102	1.034791	1.016627	0.973403	1.072796	0.943291	1.018224	1.0054587	1.026151	0.978065	1.0060836	1.039445	1.05844	0.942237
0.33	1.022911	1.022341	1.019531	1.02701	1.014412	0.986317	1.062177	1.040213	1.033832	0.972319	1.075172	1.016988	1.010844	1.045233	1.0020026	1.02292
0.34	1.0091631	1.00099619	0.982447	1.054677	1.022649	0.955617	1.01504	0.9901021	1.040956	1.031104	1.015837	1.041774	1.0070445	0.985612	0.981998	1.00034325
0.35	1.024017	1.025873	1.016978	1.026933	1.0034023	0.99983026	1.095519	1.0025417	1.031064	0.9959455	1.018494	0.9900716	0.9577	1.042194	1.043296	1.0015453
0.36	0.999921573	1.028683	1.012489	1.027039	1.030942	0.986187	1.10693	0.9935246	0.996297	1.012596	1.018283	1.0082065	1.015542	0.9964472	1.0060587	0.953628
0.37	1.037993	1.0029435	1.016082	1.0059626	1.0041974	1.011364	1.071102	1.01566	1.030733	1.077221	1.050727	1.01878	1.02278	1.039138	1.078092	1.030663
0.38	1.026925	1.0014146	1.044605	1.032145	1.03104	1.026096	1.07324	0.971869	0.989548	1.020723	1.011081	1.019291	1.013299	1.030979	0.933034	1.051505
