Time		ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10	ROI11	ROI12	ROI13	ROI14	ROI15	ROI16	ROI17	ROI18	ROI19	ROI20	ROI21	ROI22	ROI23	ROI24	ROI25	ROI26	ROI27	ROI28	ROI29
0.01		1.030791	1.0038392	1.042875	1.00055113	1.0093269	1.031303	1.011396	1.013582	0.988887	1.040856	1.014345	1.037403	1.032179	1.028727	1.0039545	0.978113	0.97968	1.031842	0.9956269	0.980472	0.9988345	1.033401	0.985775	0.9903132	1.025706	1.0092028	1.010509	1.016221	1.0095983
0.02		0.985045	1.031749	1.018526	1.022112	1.045164	1.010589	1.030897	1.0097578	0.9978223	1.0016855	1.0063178	0.978679	1.010711	0.976044	0.96505	1.029592	1.02551	1.013018	0.978252	0.9963399	1.025094	1.0048921	1.017662	1.023707	1.025253	0.98999	0.976217	0.9974516	0.957023
0.03		1.025093	0.98118	1.016383	1.009699	1.017692	1.0079487	0.989862	1.025504	1.0087973	0.9932044	1.011083	1.0068087	0.961749	1.040715	0.979572	0.9991178	0.979782	0.9941606	1.043687	1.011235	1.011839	1.010664	1.040725	1.011618	1.019898	0.9923559	1.013951	1.001398	1.058916
0.04		1.048318	1.012867	1.009809	0.989119	0.9919139	1.0034899	0.972393	1.032382	1.00362	1.0014126	1.070076	0.9916531	1.0090687	0.983107	1.044635	0.9963504	0.9904344	1.0085011	0.960108	1.054247	0.979961	1.05015	1.0025877	0.9940221	1.028882	1.015632	1.002385	1.031611	1.00094051
0.05		0.9982965	1.07367	0.972785	1.010873	1.052967	1.010726	1.022886	1.033594	1.014497	1.015606	0.976168	1.0023534	0.9928604	1.054911	1.049648	1.053107	1.06898	1.013549	1.020427	0.9969936	1.040453	0.9988401	0.979279	1.038644	1.052765	1.021561	1.0032547	1.015337	1.037878
0.06		1.029253	1.019663	1.02555	1.041277	0.9973022	1.018933	1.042068	1.01813	1.010216	1.036909	1.067845	0.985016	1.043745	1.05546	1.066563	1.034791	1.00047583	1.0555	1.037423	1.017829	1.023549	0.985085	1.025436	1.036574	0.9950009	0.977769	1.017999	1.012135	1.030913
0.07		1.063145	1.032321	0.9980581	1.084039	1.034328	1.035585	1.072455	1.022353	1.018731	1.014358	1.029462	1.082607	1.021649	1.059073	1.041307	1.055164	1.039725	1.014191	1.024443	1.045468	1.0041979	1.025738	1.037339	1.023779	0.99922189	1.060969	1.030269	1.021931	0.972985
0.08		0.986571	1.024503	1.020114	1.021155	1.019019	1.039889	0.9902125	0.973617	1.015628	1.034423	0.979003	1.010328	1.058071	1.032302	1.055408	0.986293	1.011794	0.973815	0.9985439	1.046361	1.04083	1.040209	1.013376	1.028107	1.03596	0.9915571	1.085856	1.032417	0.989342
0.09		0.9925523	1.021213	1.034162	0.969846	1.0073119	1.02182	0.9982663	1.026375	0.979031	1.037033	1.0065767	0.99938578	1.0060382	1.017177	1.01978	1.038707	0.9939238	1.0085738	1.049144	0.946589	1.021659	0.985462	1.0013198	0.9974147	0.985394	1.047348	0.9933843	1.038489	1.027859
0.1		1.048073	1.049427	1.014868	0.99901156	1.037977	1.024177	1.046754	0.99427	1.013687	1.053218	1.015935	1.010876	0.984621	0.976583	0.974776	1.012313	1.006038	1.026564	1.059423	1.02297	1.015265	1.014561	0.9901338	0.9977232	0.943094	1.018955	1.01976	1.022512	1.021554
